"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","X","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"110","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.6,"8,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.8,"8,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.6,"(1,01)1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.333333333333333,"(1,01)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",1,"(1,01)3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.4,"2,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.3,"4,05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",1,"5,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.777777777777778,"8,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Doñana",2021,"Pinar Hinojos",3,"Halimiun calycinum",0.666666666666667,"8,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0,"(1,01)1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0,"(1,01)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.666666666666667,"(1,01)3",NA,NA,NA,NA,NA,NA,NA,NA,NA
