Fecha,Hora,Bosque,"Transecto (1,2,3)",Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Ronda,Codigo_Final,Latitude,Longitude
09/05/22,11:41:00,5,1,Scilla verna,?=41,,no,,,3,,,
09/05/22,11:44:00,5,1,Scilla verna,,,si,44,,3,,,
09/05/22,11:52:00,5,1,Scilla verna,Apis mellifera,,no,,,3,,,
09/05/22,11:57:00,5,1,Pedicularis sylvatica,,,si,42,Curro: Anthopera sp. hembra,3,,,
09/05/22,13:23:00,5,2,Pedicularis sylvatica,,,si,43,Bombus lapidarius,3,,,
09/05/22,13:26:00,5,2,Scilla verna,?=45,,si,,,3,,,
09/05/22,13:31:00,5,2,Scilla verna,?=1,,no,,,3,,,
09/05/22,13:38:00,5,2,Scilla verna,?=41,,no,,,3,,,
09/05/22,13:39:00,5,2,Scilla verna,?=44,,no,,,3,,,
09/05/22,13:42:00,5,2,Scilla verna,?=1,,no,,,3,,,
09/05/22,13:49:00,5,2,Potentilla erecta,,,si,44,Posible 44=13,3,,,
09/05/22,14:04:00,5,2,Scilla verna,Apis mellifera,,no,,,3,,,
09/05/22,14:11:00,5,2,Scilla verna,,,si,45,,3,,,
09/05/22,14:14:00,5,2,Potentilla erecta,?=44,,no,,,3,,,
09/05/22,15:37:00,5,3,Potentilla erecta,?=44,,no,,,3,,,
09/05/22,15:40:00,5,3,Scilla verna,,,no,,mariposa pequeña gris con puntos,3,,,
09/05/22,15:45:00,5,3,Scilla verna,?=1,,no,,,3,,,
09/05/22,15:51:00,5,3,Scilla verna,?=1,,no,,,3,,,
09/05/22,15:51:00,5,3,Scilla verna,?=1,,no,,,3,,,
09/05/22,15:51:00,5,3,Scilla verna,?=1,,no,,,3,,,
09/05/22,15:58:00,5,3,Scilla verna,?=41,,no,,,3,,,
09/05/22,16:01:00,5,3,Scilla verna,Apis mellifera,,no,,,3,,,
09/05/22,16:11:00,5,3,Pedicularis sylvatica,,,si,46,,3,,,
09/05/22,16:14:00,5,3,Potentilla erecta,?=44,,no,,,3,,,
09/05/22,16:16:00,5,3,Scilla verna,Eristalis sp.,,no,,,3,,,
09/05/22,16:23:00,5,3,Scilla verna,Apis mellifera,,no,,,3,,,
