"","Planta","Periodo","Bosque","Year","Site","Semillas_viables","scaled_seeds","id_planta"
"200","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"2,01"
"201","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"3,06"
"202","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"3,06"
"203","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"4,05"
"204","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"4,05"
"205","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"4,05"
"206","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"4,05"
"207","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"4,05"
"208","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"4,05"
"209","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"4,05"
"210","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"4,05"
"211","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"4,05"
"212","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"4,05"
"213","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"4,05"
"214","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"4,05"
"215","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"4,05"
"216","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"4,05"
"217","Halimium calycinum",6,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"4,05"
"218","Halimium calycinum",6,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"4,05"
"219","Halimium calycinum",6,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"4,05"
"220","Halimium calycinum",6,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"4,05"
"221","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",7,2.27909062110046,"5,04"
"222","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"5,04"
"223","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"5,04"
"224","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"5,04"
"225","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"5,04"
"226","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"5,04"
"227","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"5,04"
"228","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"5,04"
"229","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",7,2.27909062110046,"5,04"
